id,nombre,descripcion,precio_valor,moneda_id,precio_fecha,categoria_id,proveedor_id
1,Notebook Lenovo,Notebook 15 pulgadas,150000,1,2026-04-24,4,8
2,Mouse Logitech,Mouse inalambrico,25000,1,2026-04-24,2,1
3,Teclado Redragon,Teclado mecanico,45000,1,2026-04-24,2,9
4,Monitor Samsung,Monitor 24 Full HD,120000,1,2026-04-24,3,3
5,Disco SSD Kingston,SSD 480GB,55000,1,2026-04-24,5,4
6,Router TP-Link,Router WiFi 6,89000,1,2026-04-24,6,6
7,Impresora HP,Impresora multifuncion,210000,1,2026-04-24,7,5
8,Auriculares HyperX,Auriculares gamer,78000,1,2026-04-24,8,10
9,Joystick Xbox,Control inalambrico,110000,1,2026-04-24,9,2
10,Hub USB,Expansor USB multipuerto,30000,1,2026-04-24,10,7
